2016-06-27 11:18:31,078 [Thread-18:3860] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `activateuserinfo`.`id`, `activateuserinfo`.`countall`, `activateuserinfo`.`countactivate`, `activateuserinfo`.`unichg`, `activateuserinfo`.`smsmo`, `activateuserinfo`.`callduration`, `activateuserinfo`.`data` FROM `activateuserinfo` WHERE `activateuserinfo`.`id` = 1; args=(1,)
2016-06-27 11:18:37,365 [Thread-24:7424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-27 11:18:37,368 [Thread-24:7424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-27 11:18:37,368 [Thread-24:7424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'y6yo7gcdz6foj50pyi6o7jf98pytnh0q' AND `django_session`.`expire_date` > '2016-06-27 03:18:37'); args=('y6yo7gcdz6foj50pyi6o7jf98pytnh0q', u'2016-06-27 03:18:37')
2016-06-27 11:18:37,369 [Thread-24:7424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2016-06-27 11:18:37,437 [Thread-24:7424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `testuserout`; args=('*',)
2016-06-27 11:18:37,437 [Thread-24:7424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `callhistory` WHERE `callhistory`.`imsi` = 0; args=('*', 0)
2016-06-27 11:18:37,440 [Thread-24:7424] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `activateuserinfo`.`id`, `activateuserinfo`.`countall`, `activateuserinfo`.`countactivate`, `activateuserinfo`.`unichg`, `activateuserinfo`.`smsmo`, `activateuserinfo`.`callduration`, `activateuserinfo`.`data` FROM `activateuserinfo` WHERE `activateuserinfo`.`id` = 1; args=(1,)
2016-06-27 11:18:42,312 [Thread-29:5912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-27 11:18:42,313 [Thread-29:5912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-27 11:18:42,315 [Thread-29:5912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'y6yo7gcdz6foj50pyi6o7jf98pytnh0q' AND `django_session`.`expire_date` > '2016-06-27 03:18:42'); args=('y6yo7gcdz6foj50pyi6o7jf98pytnh0q', u'2016-06-27 03:18:42')
2016-06-27 11:18:42,316 [Thread-29:5912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2016-06-27 11:18:42,348 [Thread-29:5912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `testuserout`; args=('*',)
2016-06-27 11:18:42,349 [Thread-29:5912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `callhistory` WHERE `callhistory`.`imsi` = 0; args=('*', 0)
2016-06-27 11:18:42,351 [Thread-29:5912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `activateuserinfo`.`id`, `activateuserinfo`.`countall`, `activateuserinfo`.`countactivate`, `activateuserinfo`.`unichg`, `activateuserinfo`.`smsmo`, `activateuserinfo`.`callduration`, `activateuserinfo`.`data` FROM `activateuserinfo` WHERE `activateuserinfo`.`id` = 1; args=(1,)
2016-06-27 11:18:44,325 [Thread-32:7060] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-27 11:18:44,328 [Thread-32:7060] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-27 11:18:44,329 [Thread-32:7060] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'y6yo7gcdz6foj50pyi6o7jf98pytnh0q' AND `django_session`.`expire_date` > '2016-06-27 03:18:44'); args=('y6yo7gcdz6foj50pyi6o7jf98pytnh0q', u'2016-06-27 03:18:44')
2016-06-27 11:18:44,332 [Thread-32:7060] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2016-06-27 11:18:44,341 [Thread-32:7060] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `testuserout`; args=('*',)
2016-06-27 11:18:44,342 [Thread-32:7060] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `callhistory` WHERE `callhistory`.`imsi` = 0; args=('*', 0)
2016-06-27 11:18:44,345 [Thread-32:7060] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `activateuserinfo`.`id`, `activateuserinfo`.`countall`, `activateuserinfo`.`countactivate`, `activateuserinfo`.`unichg`, `activateuserinfo`.`smsmo`, `activateuserinfo`.`callduration`, `activateuserinfo`.`data` FROM `activateuserinfo` WHERE `activateuserinfo`.`id` = 1; args=(1,)
2016-06-27 11:18:45,210 [Thread-34:3884] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-27 11:18:45,211 [Thread-34:3884] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-27 11:18:45,213 [Thread-34:3884] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'y6yo7gcdz6foj50pyi6o7jf98pytnh0q' AND `django_session`.`expire_date` > '2016-06-27 03:18:45'); args=('y6yo7gcdz6foj50pyi6o7jf98pytnh0q', u'2016-06-27 03:18:45')
2016-06-27 11:18:45,214 [Thread-34:3884] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2016-06-27 11:18:45,220 [Thread-34:3884] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `testuserout`; args=('*',)
2016-06-27 11:18:45,223 [Thread-34:3884] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `callhistory` WHERE `callhistory`.`imsi` = 0; args=('*', 0)
2016-06-27 11:18:45,226 [Thread-34:3884] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `activateuserinfo`.`id`, `activateuserinfo`.`countall`, `activateuserinfo`.`countactivate`, `activateuserinfo`.`unichg`, `activateuserinfo`.`smsmo`, `activateuserinfo`.`callduration`, `activateuserinfo`.`data` FROM `activateuserinfo` WHERE `activateuserinfo`.`id` = 1; args=(1,)
2016-06-28 07:59:33,529 [Dummy-1:1788] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-28 07:59:33,769 [Dummy-1:1788] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-28 07:59:33,934 [Dummy-1:1788] [django.db.backends:89] [utils:execute] [DEBUG]- (0.163) SHOW FULL TABLES; args=None
2016-06-28 07:59:34,023 [Dummy-1:1788] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-06-28 07:59:52,216 [Thread-2:5256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-28 07:59:52,220 [Thread-2:5256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT COUNT('*') AS `__count` FROM `testuserout`; args=('*',)
2016-06-28 07:59:52,253 [Thread-2:5256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.029) SELECT COUNT('*') AS `__count` FROM `callhistory` WHERE `callhistory`.`imsi` = 0; args=('*', 0)
2016-06-28 07:59:52,256 [Thread-2:5256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `activateuserinfo`.`id`, `activateuserinfo`.`countall`, `activateuserinfo`.`countactivate`, `activateuserinfo`.`unichg`, `activateuserinfo`.`smsmo`, `activateuserinfo`.`callduration`, `activateuserinfo`.`data` FROM `activateuserinfo` WHERE `activateuserinfo`.`id` = 1; args=(1,)
2016-06-28 07:59:58,242 [Thread-3:3160] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-28 07:59:58,244 [Thread-3:3160] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-28 07:59:58,388 [Thread-3:3160] [django.db.backends:89] [utils:execute] [DEBUG]- (0.142) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`username` = 'admin'; args=(u'admin',)
2016-06-28 07:59:58,467 [Thread-3:3160] [django.db.backends:89] [utils:execute] [DEBUG]- (0.019) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'y6yo7gcdz6foj50pyi6o7jf98pytnh0q' AND `django_session`.`expire_date` > '2016-06-27 23:59:58'); args=('y6yo7gcdz6foj50pyi6o7jf98pytnh0q', u'2016-06-27 23:59:58')
2016-06-28 07:59:58,512 [Thread-3:3160] [django.db.backends:89] [utils:execute] [DEBUG]- (0.039) UPDATE `auth_user` SET `last_login` = '2016-06-27 23:59:58' WHERE `auth_user`.`id` = 1; args=(u'2016-06-27 23:59:58', 1)
2016-06-28 07:59:58,526 [Thread-3:3160] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) UPDATE `django_session` SET `session_data` = 'MjgzNGNlOTQzNTA5M2NmMzhhMDZhMDA0MzA1ZTJjYWMzOGU5M2FjODp7Il9hdXRoX3VzZXJfaGFzaCI6ImE3M2M1NjRiY2Y2MmVhMjIzMjVhMWFlNDMxMzM4MmE0OTRjNTBiZmUiLCJfYXV0aF91c2VyX2JhY2tlbmQiOiJkamFuZ28uY29udHJpYi5hdXRoLmJhY2tlbmRzLk1vZGVsQmFja2VuZCIsIl9hdXRoX3VzZXJfaWQiOiIxIn0=', `expire_date` = '2016-07-11 23:59:58' WHERE `django_session`.`session_key` = 'y6yo7gcdz6foj50pyi6o7jf98pytnh0q'; args=(u'MjgzNGNlOTQzNTA5M2NmMzhhMDZhMDA0MzA1ZTJjYWMzOGU5M2FjODp7Il9hdXRoX3VzZXJfaGFzaCI6ImE3M2M1NjRiY2Y2MmVhMjIzMjVhMWFlNDMxMzM4MmE0OTRjNTBiZmUiLCJfYXV0aF91c2VyX2JhY2tlbmQiOiJkamFuZ28uY29udHJpYi5hdXRoLmJhY2tlbmRzLk1vZGVsQmFja2VuZCIsIl9hdXRoX3VzZXJfaWQiOiIxIn0=', u'2016-07-11 23:59:58', 'y6yo7gcdz6foj50pyi6o7jf98pytnh0q')
2016-06-28 07:59:58,535 [Thread-4:5540] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-28 07:59:58,536 [Thread-4:5540] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-28 07:59:58,538 [Thread-4:5540] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'y6yo7gcdz6foj50pyi6o7jf98pytnh0q' AND `django_session`.`expire_date` > '2016-06-27 23:59:58'); args=('y6yo7gcdz6foj50pyi6o7jf98pytnh0q', u'2016-06-27 23:59:58')
2016-06-28 07:59:58,539 [Thread-4:5540] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2016-06-28 07:59:58,559 [Thread-4:5540] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `testuserout`; args=('*',)
2016-06-28 07:59:58,561 [Thread-4:5540] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `callhistory` WHERE `callhistory`.`imsi` = 0; args=('*', 0)
2016-06-28 07:59:58,562 [Thread-4:5540] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `activateuserinfo`.`id`, `activateuserinfo`.`countall`, `activateuserinfo`.`countactivate`, `activateuserinfo`.`unichg`, `activateuserinfo`.`smsmo`, `activateuserinfo`.`callduration`, `activateuserinfo`.`data` FROM `activateuserinfo` WHERE `activateuserinfo`.`id` = 1; args=(1,)
2016-06-28 08:00:02,052 [Thread-9:2764] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-28 08:00:02,058 [Thread-9:2764] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-28 08:00:02,059 [Thread-9:2764] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'y6yo7gcdz6foj50pyi6o7jf98pytnh0q' AND `django_session`.`expire_date` > '2016-06-28 00:00:02'); args=('y6yo7gcdz6foj50pyi6o7jf98pytnh0q', u'2016-06-28 00:00:02')
2016-06-28 08:00:02,065 [Thread-9:2764] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2016-06-28 08:00:02,096 [Thread-9:2764] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `testuserout`; args=('*',)
